,,,Setup,Labour,Grand Total (Minutes),(Hrs),,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
x,AVE TIME PER INSPECTION,0.015,,,0.015,,,,,,,,,,,,,,,,
x,SFDC SCANNING TIME,,,,0,,,,,,,,,,,,,,,,
,ADDITIONAL INSPECTION,,,,0,,Add any additional non-standard inspection / touch-up required post wave.,,,,,,,,,,,,,,
,RUN PER PCB,(Q + B/S COMP x2) * 0.015,,0,0,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,HAND ASSEMBLY / SOLDERING,,,,,,,,,,,,,,,,,,,,
x,SETUP TIME,15,,,15,,,,,,,,,,,,,,,,
,SETUP PER PCB,15/BATCH SIZE,0.15,,15,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,No. HAND ASSEMBLED COMPONENTS,S,,,3,,,,,,,,,,,,,,,,
,No. TH LEADS SOLDERED,T,,,12,"SMA connectors J2, J3, J4 to be placed at SMT but will require solder added to TH pins.",,,,,,,,,,,,,,,
x,AVE TIME PER PLACEMENT,0.2,,,0.2,,,,,,,,,,,,,,,,
x,AVE TIME TO SOLDER TH LEAD (Leaded process),0.1,,,0.1,,,,,,,,,,,,,,,,
x,AVE TIME TO SOLDER TH LEAD (Lead-Free process),0.15,,,0.15,,,,,,,,,,,,,,,,
x,AVE TIME TO SOLDER TH LEAD (Class 3 - Leaded),0.2,,,0.2,,,,,,,,,,,,,,,,
x,AVE TIME TO SOLDER TH LEAD (Class 3 - Lead-Free),0.25,,,0.25,,,,,,,,,,,,,,,,
,RUN PER PCB (Leaded Process),S*0.2 + T*0.1,,0,1.8000000000000003,,,,,,,,,,,,,,,,
,RUN PER PCB (Lead-Free Process),S*0.2 + T*0.2,,2.4,2.4,,,,,,,,,,,,,,,,
,RUN PER PCB (Leaded Class 3),,,0,3.0000000000000004,,,,,,,,,,,,,,,,
,RUN PER PCB (Lead-Free Class 3),,,0,3.6,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,PRESSFIT,,,,,,,,,,,,,,,,,,,,
x,SETUP TIME,15,,,15,,,,,,,,,,,,,,,,
,SETUP PER PCB,15/BATCH SIZE,0,,0,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,TOTAL NUMBER OF PRESSFIT CONNECTORS,O,,,0,,,,,,,,,,,,,,,,
,TIME PER CONNECTOR,,,,0,,,,,,,,,,,,,,,,
,RUN PER PCB, O*0.4,,0,0,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,DEPANEL,,,,,,,,,,,,,,,,,,,,
x,SETUP TIME V-GROOVE CUTTER,15,,,10,,,,,,,,,,,,,,,,
,SETUP PER PCB,15/BATCH SIZE,0.1,,10,,,,,,,,,,,,,,,,
x,SETUP TIME MOUSE-BITE CUTTTER,15,,,10,,,,,,,,,,,,,,,,
,SETUP PER PCB,15/BATCH SIZE,0,,0,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,No. OF V-GROOVE PER PANEL,,,,16,,Note: Enter here number of v-grooves per PANEL!,,,,,,,,,,,,,,
,No. OF MOUSE-BITE PER PANEL,,,,0,,Note: Enter here number of mouse-bites per PANEL!,,,,,,,,,,,,,,
x,TIME PER V-GROOVE,10 sec,,,0.167,,,,,,,,,,,,,,,,
x,TIME PER MOUSE BITE,10 sec,,,0.167,,,,,,,,,,,,,,,,
,ADDITIONAL TIME FOR NON-STANDARD PROCESS PER PANEL,,,,0.5,,,,,,,,,,,,,,,,
,RUN PER PCB,,,0.793,0.793,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,PCF / MANUAL ASSY INSPECTION,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
x,AVE TIME PER INSPECTION,0.015,,,0.015,,,,,,,,,,,,,,,,
x,SFDC SCANNING TIME,,,,0.16666,,,,,,,,,,,,,,,,
,ADDITIONAL INSPECTION,,,,0,,Add any additional non-standard inspection required post PCF / Manual Assembly.,,,,,,,,,,,,,,
,RUN PER PCB,(Q + B/S COMP x2) * 0.015,,0.63166,0.63166,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,MISCELLANEOUS / MODIFICATIONS,,,,,,,,,,,,,,,,,,,,
x,No. TYPES OF NON-SMT PARTS,A,,,1,,,,,,,,,,,,,,,,
x,PTS SCANNING PER TYPE OF NON-SMT PART,,,,0.5,,,,,,,,,,,,,,,,
x,PTS SCANNING TIME,,,,0.5,,,,,,,,,,,,,,,,
,PTS SETUP PER PCB,( S1+S2+S3)/BATCH SIZE,0.005,,0.5,,,,,,,,,,,,,,,,
,MISCELLANEOUS SETUP PER BATCH,( S1+S2+S3)/BATCH SIZE,0,,0,,"Enter any other miscellaneous SETUP time PER BATCH (eg, jigs, tooling, special equipment, etc..) - This value will be divided by ""batch size"" in the total.",,,,,,,,,,,,,,
,Examples:,Guidelines:,,,0,,,,,,,,,,,,,,,,
,KYNAR WIRE LINK,2.0 minutes,,,0,,,,,,,,,,,,,,,,
,RADIAL COMP. ONTO LEAD,3.0 minutes,,,0,,,,,,,,,,,,,,,,
,CUT TRACK,0.5 minutes,,,0,,,,,,,,,,,,,,,,
,IC INTO SOCKET,0.2 minutes,,,0,,,,,,,,,,,,,,,,
,ADDITIONAL TIME DUE TO GROUND PLANES / DIFFICULT COMPONENTS,,,,0,,,,,,,,,,,,,,,,
,LABELS,,,,0,,,,,,,,,,,,,,,,
,OTHER PROCESSES (EG CLEANING),,,,0.5,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,RUN PER PCB,Specify Nature of Work here,,0.5,0.5,,,,,,,,,,,,,,,,
,MACHINE WASH,,,,,,,,,,,,,,,,,,,,
x,SETUP TIME,10,,,10,,,,,,,,,,,,,,,,
,SETUP PER PCB,15/BATCH SIZE,0,,0,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,HANDLING TIME PER PCB,0.5 minutes,,,0,,,,,,,,,,,,,,,,
x,SFDC SCANNING TIME,,,,0,,,,,,,,,,,,,,,,
,RUN PER PCB,,,0,0,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,"HEAT SOAK /
THERMAL CYCLING",,,,,,,,,,,,,,,,,,,,
x,SETUP TIME,10,,,10,,,,,,,,,,,,,,,,
,SETUP PER PCB,15/BATCH SIZE,0,,0,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,HANDLING TIME PER PCB,0.5 minutes,,,0,,,,,,,,,,,,,,,,
x,SFDC SCANNING TIME,,,,0,,,,,,,,,,,,,,,,
,RUN PER PCB,,,0,0,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,ICT / FLYING PROBE,,,,,,,,,,,,,,,,,,,,
x,SETUP TIME,10,,,10,,,,,,,,,,,,,,,,
,SETUP PER PCB,15/BATCH SIZE,0.1,,10,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,TEST TIME INCLUDING HANDLING,Test engineering to advise,,,2.5,2 min + 0.5 min handling (Estimate),,,,,,,,,,,,,,,
x,SFDC SCANNING TIME,,,,0.16666,,,,,,,,,,,,,,,,
,RUN PER PCB,,,2.66666,2.66666,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,ICT DEBUG / RETURNS,,,,,,,,,,,,,,,,,,,,
x,FAILURE RATE,,,,0.05,,,,,,,,,,,,,,,,
,,,,0.125,0.125,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,FCT,,,,,,,,,,,,,,,,,,,,
x,SETUP TIME,10,,,10,,,,,,,,,,,,,,,,
,SETUP PER PCB,15/BATCH SIZE,0.1,,10,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,TEST TIME INCLUDING HANDLING,Test engineering to advise,,,2.5,,Include handling time,,,,,,,,,,,,,,
x,SFDC SCANNING TIME,,,,0.16666,,,,,,,,,,,,,,,,
,RUN PER PCB,,,2.66666,2.66666,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,FCT DEBUG / RETURNS,,,,,,,,,,,,,,,,,,,,
x,FAILURE RATE,,,,0.15,,,,,,,,,,,,,,,,
,,,,0.375,0.375,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,CONFORMAL COATING (machine),,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
x,SETUP TIME,30,,,30,,Includes setup for curing,,,,,,,,,,,,,,
,SETUP PER PCB,15/BATCH SIZE,0,,0,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
